id,german,word_class,gender,plural,english,pronunciation,theme,antonym,example_de,example_en
"1","abfliegen","Verb","","","to take off / to depart (by plane)","ahp-flee-gen","Reise, Verkehr & Mobilität","landen","Unser Flugzeug fliegt am Morgen ab.","Our plane takes off in the morning."
"2","der Abflug","Nomen","der","die Abflüge","departure (flight) / takeoff","ahp-flook","Reise, Verkehr & Mobilität","die Ankunft","Wir warten am Flughafen auf den Abflug.","We are waiting at the airport for the departure."
"3","an","Andere","","","at / on / to","ahn","Grammatik, Pronomen & Struktur","aus","Das Bild hängt an der Wand.","The picture hangs on the wall."
"4","an sein","Verb","","","to be on","ahn zine","Allgemeine Aktivitäten & Verben","aus sein","Der Fernseher ist noch an.","The television is still on."
"5","die Ansage","Nomen","die","die Ansagen","announcement","ahn-zah-geh","Reise, Verkehr & Mobilität","","Ich habe die Ansage am Bahnhof nicht verstanden.","I didn't understand the announcement at the station."
"6","der Anschluss","Nomen","der","die Anschlüsse","connection","ahn-shloos","Reise, Verkehr & Mobilität","","Ich habe den Anschluss nach München verpasst.","I missed the connection to Munich."
"7","die Antwort","Nomen","die","die Antworten","answer","ahnt-vort","Kommunikation, Medien & Sprache","die Frage","Deine Antwort ist richtig.","Your answer is correct."
"8","antworten","Verb","","","to answer","ahnt-vor-ten","Kommunikation, Medien & Sprache","fragen","Bitte antworte mir schnell.","Please answer me quickly."
"9","die Anzeige","Nomen","die","die Anzeigen","advertisement","ahn-tsy-geh","Kommunikation, Medien & Sprache","","Ich habe die Wohnung über eine Anzeige gefunden.","I found the apartment through an advertisement."
"10","das Apartment","Nomen","das","die Apartments","apartment","ah-part-ment","Wohnen, Haus & Haushalt","","Mein Apartment hat nur ein Zimmer.","My apartment has only one room."
"11","der Apfel","Nomen","der","die Äpfel","apple","ahp-fel","Essen, Kochen & Restaurant","","Jeden Morgen esse ich einen Apfel.","Every morning I eat an apple."
"12","der Appetit","Nomen","der","","appetite","ah-pe-teet","Essen, Kochen & Restaurant","","Nach dem Sport habe ich großen Appetit.","After sports I have a big appetite."
"13","die Arbeit","Nomen","die","die Arbeiten","work / job","ar-bite","Arbeit, Beruf & Karriere","die Freizeit","Meine Arbeit beginnt um acht Uhr.","My work begins at eight o'clock."
"14","arbeiten","Verb","","","to work","ar-by-ten","Arbeit, Beruf & Karriere","","Sie arbeitet in einem Krankenhaus.","She works in a hospital."
"15","arbeitslos","Adjektiv","","","unemployed","ar-bites-lohs","Arbeit, Beruf & Karriere","berufstätig","Seit einem Monat ist er arbeitslos.","He has been unemployed for a month."
"16","der Arbeitsplatz","Nomen","der","die Arbeitsplätze","workplace","ar-bites-plahts","Arbeit, Beruf & Karriere","","Mein Arbeitsplatz ist sehr ruhig.","My workplace is very quiet."
"17","der Arm","Nomen","der","die Arme","arm","arm","Gesundheit, Körper & Pflege","das Bein","Mein linker Arm tut weh.","My left arm hurts."
"18","der Arzt","Nomen","der","die Ärzte","doctor","artst","Gesundheit, Körper & Pflege","der Patient","Der Arzt hat heute viel Zeit.","The doctor has a lot of time today."
"19","auch","Andere","","","also / too","owkh","Basiswortschatz & Floskeln","","Ich komme auch mit.","I'm coming along too."
"20","auf","Andere","","","on / at","owf","Grammatik, Pronomen & Struktur","unter","Das Buch liegt auf dem Tisch.","The book is lying on the table."
"21","auf sein","Verb","","","to be open","owf zine","Allgemeine Aktivitäten & Verben","zu sein","Das Fenster ist den ganzen Tag auf.","The window is open all day."
"22","die Aufgabe","Nomen","die","die Aufgaben","task / assignment","owf-gah-beh","Ausbildung, Schule & Studium","die Lösung","Die Aufgabe war nicht leicht.","The task was not easy."
"23","aufhören","Verb","","","to stop / to end","owf-hur-en","Allgemeine Aktivitäten & Verben","anfangen","Der Regen hört bald auf.","The rain will stop soon."
"24","aufstehen","Verb","","","to get up","owf-shtey-en","Allgemeine Aktivitäten & Verben","sich hinsetzen","Am Sonntag stehe ich spät auf.","On Sunday I get up late."
"25","der Aufzug","Nomen","der","die Aufzüge","elevator","owf-tsook","Wohnen, Haus & Haushalt","die Treppe","Der Aufzug ist leider kaputt.","Unfortunately, the elevator is broken."
"26","das Auge","Nomen","das","die Augen","eye","ow-geh","Gesundheit, Körper & Pflege","","Sie hat grüne Augen.","She has green eyes."
"27","aus","Andere","","","from / out of","ows","Grammatik, Pronomen & Struktur","in","Meine Freundin kommt aus Italien.","My friend comes from Italy."
"28","aus sein","Verb","","","to be off / to be over","ows zine","Allgemeine Aktivitäten & Verben","an sein","Der Film ist schon aus.","The movie is already over."
"29","der Ausflug","Nomen","der","die Ausflüge","excursion / trip","ows-flook","Reise, Verkehr & Mobilität","","Am Samstag machen wir einen Ausflug ans Meer.","On Saturday we're taking a trip to the sea."
"30","ausfüllen","Verb","","","to fill out","ows-fül-len","Allgemeine Aktivitäten & Verben","","Können Sie dieses Formular für mich ausfüllen?","Can you fill out this form for me?"
"31","der Ausgang","Nomen","der","die Ausgänge","exit","ows-gahng","Basiswortschatz & Floskeln","der Eingang","Der Ausgang ist auf der rechten Seite.","The exit is on the right side."
"32","die Auskunft","Nomen","die","die Auskünfte","information","ows-koonft","Basiswortschatz & Floskeln","","Am Schalter bekommst du eine Auskunft.","At the counter you get information."
"33","das Ausland","Nomen","das","","abroad / foreign countries","ows-lahnt","Reise, Verkehr & Mobilität","das Inland","Nächstes Jahr möchte ich im Ausland studieren.","Next year I want to study abroad."
"34","der Ausländer","Nomen","der","die Ausländer","foreigner","ows-len-der","Basiswortschatz & Floskeln","der Inländer","In meiner Klasse sind viele Ausländer.","In my class there are many foreigners."
"35","ausländisch","Adjektiv","","","foreign","ows-len-dish","Eigenschaften & Adjektive","inländisch","Ich probiere gern ausländisches Essen.","I like to try foreign food."
"36","ausmachen","Verb","","","to turn off","ows-mah-khen","Allgemeine Aktivitäten & Verben","anmachen","Mach bitte das Radio aus.","Please turn off the radio."
"37","die Aussage","Nomen","die","die Aussagen","statement","ows-zah-geh","Kommunikation, Medien & Sprache","","Seine Aussage war nicht ganz richtig.","His statement was not quite correct."
"38","aussehen","Verb","","","to look / to appear","ows-zey-en","Gefühle, Charakter & Meinung","","Du siehst heute sehr müde aus.","You look very tired today."
"39","aussteigen","Verb","","","to get off / to disembark","ows-shty-gen","Reise, Verkehr & Mobilität","einsteigen","An der nächsten Station müssen wir aussteigen.","At the next station we have to get off."
"40","der Ausweis","Nomen","der","die Ausweise","ID card / identification","ows-vice","Staat, Gesellschaft & Dokumente","","Zeigen Sie bitte Ihren Ausweis.","Please show your ID card."
"41","das Auto","Nomen","das","die Autos","car","ow-toh","Reise, Verkehr & Mobilität","","Mein Auto ist rot.","My car is red."
"42","die Autobahn","Nomen","die","die Autobahnen","highway / freeway","ow-toh-bahn","Reise, Verkehr & Mobilität","die Landstraße","Auf der Autobahn fahren wir sehr schnell.","On the highway we drive very fast."
"43","der Automat","Nomen","der","die Automaten","vending machine / ticket machine","ow-toh-maht","Reise, Verkehr & Mobilität","","Der Automat nimmt nur Münzen.","The machine only takes coins."
"44","automatisch","Adjektiv","","","automatic / automatically","ow-toh-mah-tish","Eigenschaften & Adjektive","manuell","Die Tür öffnet sich automatisch.","The door opens automatically."
"45","das Baby","Nomen","das","die Babys","baby","bey-bee","Person, Familie & Beziehungen","der Erwachsene","Das Baby schläft jetzt.","The baby is sleeping now."
"46","das Bad","Nomen","das","die Bäder","bathroom","baht","Wohnen, Haus & Haushalt","","Unser Bad ist klein, aber schön.","Our bathroom is small but nice."
"47","baden","Verb","","","to bathe","bah-den","Gesundheit, Körper & Pflege","duschen","Im Sommer baden wir oft im See.","In summer we often swim in the lake."
"48","die Bahn","Nomen","die","die Bahnen","train / railway","bahn","Reise, Verkehr & Mobilität","","Ich fahre mit der Bahn zur Arbeit.","I take the train to work."
"49","der Bahnhof","Nomen","der","die Bahnhöfe","train station","bahn-hohf","Reise, Verkehr & Mobilität","","Der Bahnhof ist nicht weit von hier.","The train station is not far from here."
"50","der Bahnsteig","Nomen","der","die Bahnsteige","platform","bahn-shtyke","Reise, Verkehr & Mobilität","","Der Zug fährt von Bahnsteig drei ab.","The train departs from platform three."
"51","bald","Andere","","","soon","bahlt","Uhrzeit, Datum & Kalender","später","Wir sehen uns bald wieder.","We'll see each other again soon."
"52","der Balkon","Nomen","der","die Balkone","balcony","bahl-kohn","Wohnen, Haus & Haushalt","","Im Sommer frühstücke ich auf dem Balkon.","In summer I have breakfast on the balcony."
"53","die Banane","Nomen","die","die Bananen","banana","bah-nah-neh","Essen, Kochen & Restaurant","","Ich kaufe ein Kilo Bananen.","I'm buying a kilo of bananas."
"54","die Bank","Nomen","die","die Banken (bank) / die Bänke (bench)","bank / bench","bahnk","Einkaufen, Geld & Konsum","","Ich gehe zur Bank und hole Geld.","I go to the bank and get money."
"55","bar","Adjektiv","","","in cash","bahr","Einkaufen, Geld & Konsum","mit Karte","Ich bezahle lieber bar.","I prefer to pay in cash."
"56","der Bauch","Nomen","der","die Bäuche","stomach / belly","bowkh","Gesundheit, Körper & Pflege","der Rücken","Mein Bauch tut nach dem Essen weh.","My stomach hurts after eating."
"57","der Baum","Nomen","der","die Bäume","tree","bowm","Natur, Umwelt & Tiere","","Vor dem Haus steht ein großer Baum.","In front of the house stands a big tree."
"58","der Beamte","Nomen","der","die Beamten","civil servant / official","be-ahm-teh","Arbeit, Beruf & Karriere","","Der Beamte prüft meinen Pass.","The official checks my passport."
"59","bedeuten","Verb","","","to mean","be-doy-ten","Kommunikation, Medien & Sprache","","Was bedeutet dieses Wort?","What does this word mean?"
"60","beginnen","Verb","","","to begin / to start","be-gin-nen","Allgemeine Aktivitäten & Verben","enden","Der Unterricht beginnt um neun Uhr.","The lessons begin at nine o'clock."
"61","bei","Präposition","","","at / with / near","by","Grammatik, Pronomen & Struktur","","Ich wohne bei meinen Eltern.","I live with my parents."
"62","beide","Pronomen","","","both","by-deh","Zahlen, Maße & Mengen","keine","Beide Kinder gehen schon zur Schule.","Both children already go to school."
"63","das Bein","Nomen","das","die Beine","leg","bine","Gesundheit, Körper & Pflege","der Arm","Mein rechtes Bein tut weh.","My right leg hurts."
"64","das Beispiel","Nomen","das","die Beispiele","example","by-shpeel","Basiswortschatz & Floskeln","","Kannst du mir ein Beispiel geben?","Can you give me an example?"
"65","bekannt","Adjektiv","","","known / famous","be-kahnt","Eigenschaften & Adjektive","unbekannt","Dieser Sänger ist in Deutschland sehr bekannt.","This singer is very famous in Germany."
"66","bekommen","Verb","","","to get / to receive","be-kom-men","Allgemeine Aktivitäten & Verben","geben","Zum Geburtstag bekomme ich viele Geschenke.","For my birthday I get many presents."
"67","benutzen","Verb","","","to use","be-noot-sen","Allgemeine Aktivitäten & Verben","","Darf ich dein Telefon benutzen?","May I use your phone?"
"68","der Beruf","Nomen","der","die Berufe","profession / job","be-roof","Arbeit, Beruf & Karriere","die Freizeit","Was sind Sie von Beruf?","What is your profession?"
"69","besetzt","Adjektiv","","","occupied / taken","be-zetst","Eigenschaften & Adjektive","frei","Die Toilette ist gerade besetzt.","The toilet is currently occupied."
"70","besichtigen","Verb","","","to visit / to sightsee","be-zikh-ti-gen","Reise, Verkehr & Mobilität","","Morgen besichtigen wir das alte Schloss.","Tomorrow we're going to visit the old castle."
"71","besser","Adjektiv","","","better","bes-ser","Eigenschaften & Adjektive","schlechter","Heute geht es mir schon besser.","Today I already feel better."
"72","best-","Adjektiv","","","best","best","Eigenschaften & Adjektive","schlechtest-","Er ist mein bester Freund.","He is my best friend."
"73","bestellen","Verb","","","to order","be-shtel-len","Essen, Kochen & Restaurant","","Ich möchte eine Pizza bestellen.","I would like to order a pizza."
"74","besuchen","Verb","","","to visit","be-zoo-khen","Allgemeine Aktivitäten & Verben","","Am Wochenende besuche ich meine Oma.","On the weekend I visit my grandma."
"75","das Bett","Nomen","das","die Betten","bed","bet","Wohnen, Haus & Haushalt","","Das Kind liegt schon im Bett.","The child is already in bed."
"76","bezahlen","Verb","","","to pay","be-tsah-len","Einkaufen, Geld & Konsum","","Ich möchte mit Karte bezahlen.","I would like to pay by card."
"77","das Bier","Nomen","das","die Biere","beer","beer","Essen, Kochen & Restaurant","","Er trinkt ein kaltes Bier.","He drinks a cold beer."
"78","das Bild","Nomen","das","die Bilder","picture / painting","bilt","Basiswortschatz & Floskeln","","An der Wand hängt ein schönes Bild.","A beautiful picture hangs on the wall."
