(fahren	to drive / to depart	Alltag	Verb
ab	from / starting at	Alltag	Andere
aber	but / however	Alltag	Andere
abfahren	to depart / to leave	Alltag	Verb
die Abfahrt	departure	Alltag	Nomen
abgeben	to hand in / to drop off	Alltag	Verb
abholen	to pick up / to collect	Alltag	Verb
abschließen	to lock / to finish	Alltag	Verb
Achtung	attention / danger	Alltag	Andere
die Adresse	address	Alltag	Nomen
die Ahnung	idea / clue	Alltag	Nomen
aktiv	active	Freizeit	Andere
aktuell	current / up-to-date	Alltag	Andere
all-	all / everything	Alltag	Andere
allein	alone	Alltag	Andere
als	as / than / when	Alltag	Andere
also	so / therefore	Alltag	Andere
alt	old	Alltag	Adjektiv
das Alter	age	Alltag	Nomen
die Ampel	traffic light	Alltag	Nomen
an	at / on	Alltag	Andere
an sein	to be on / to be turned on	Alltag	Verb
anbieten	to offer	Beruf	Verb
anbieten	to offer	Essen	Verb
ander-	other / different	Alltag	Andere
anders	differently / otherwise / different	Alltag	Andere
der Anfang	beginning / start	Alltag	Nomen
anfangen	to begin / to start	Alltag	Verb
das Angebot	offer / special offer	Einkaufen	Nomen
die Angst	fear / anxiety	Alltag	Nomen
ankommen	to arrive	Alltag	Verb
die Ankunft	arrival	Alltag	Nomen
anmachen	to turn on / to switch on	Alltag	Verb
die Anmeldung	registration	Alltag	Nomen
der Anruf	phone call / call	Alltag	Nomen
der Anrufbeantworter	answering machine	Alltag	Nomen
anrufen	to call / to phone	Alltag	Verb
der Anschluss	connection	Alltag	Nomen
ansehen	to look at / to watch	Alltag	Verb
die Antwort	answer / reply	Alltag	Nomen
antworten	to answer / to reply	Alltag	Verb
die Anzeige	advertisement / advert	Alltag	Nomen
der Anzug	suit	Einkaufen	Nomen
der Apfel	apple	Essen	Nomen
die Apotheke	pharmacy / chemist's	Gesundheit	Nomen
der Apparat	device / apparatus / telephone	Alltag	Nomen
die Arbeit	work / job	Beruf	Nomen
arbeiten	to work	Beruf	Verb
arbeitslos	unemployed / jobless	Beruf	Adjektiv
arm	poor	Alltag	Adjektiv
der Arm	arm	Gesundheit	Nomen
der Artikel	article	Lernen	Nomen
auch	also / too	Alltag	Andere
auf	on / upon / open	Alltag	Andere
auf jeden Fall	definitely / in any case / under no circumstances	Alltag	Andere
auf keinen Fall	definitely / in any case / under no circumstances	Alltag	Andere
auf sein	to be open	Alltag	Verb
aufhören	to stop / to quit	Alltag	Verb
aufmachen	to open	Alltag	Verb
aufpassen	to pay attention / to watch out	Alltag	Verb
aufregend	exciting / thrilling	Alltag	Adjektiv
aufräumen	to clean up / to tidy up	Wohnen	Verb
aufstehen	to get up / to stand up	Alltag	Verb
der Aufzug	elevator / lift	Wohnen	Nomen
das Auge	eye	Gesundheit	Nomen
aus sein	to be off / to be turned off	Alltag	Verb
der Ausflug	excursion / trip	Reise	Nomen
ausfüllen	to fill in / to fill out	Behörden	Verb
der Ausgang	exit	Alltag	Nomen
ausgeben	to spend (money)	Einkaufen	Verb
ausgehen	to go out	Alltag	Verb
die Auskunft	information	Alltag	Nomen
das Ausland	abroad / foreign countries	Alltag	Nomen
ausmachen	to turn off / to switch off	Alltag	Verb
auspacken	to unpack	Alltag	Verb
aussehen	to look / to appear	Alltag	Verb
aussprechen	to pronounce	Alltag	Verb
aussteigen	to get off / to get out	Alltag	Verb
austragen	to deliver / to distribute	Alltag	Verb
der Ausweis	ID card / identity card	Alltag	Nomen
das Auto	car	Alltag	Nomen
die Autobahn	highway / motorway	Alltag	Nomen
der Automat	vending machine / ticket machine	Alltag	Nomen
automatisch	automatic / automatically	Alltag	Adjektiv
außer	except / besides	Alltag	Andere
außerdem	besides / in addition	Einkaufen	Andere
außerhalb	outside of	Wohnen	Andere
das Baby	baby	Alltag	Nomen
der Babysitter	babysitter	Beruf	Nomen
backen	to bake	Essen	Verb
das Bad	bath / bathroom	Wohnen	Nomen
baden	to bathe / to take a bath / to swim	Gesundheit	Verb
die Bahn	train / railway	Alltag	Nomen
der Bahnhof	train station / railway station	Alltag	Nomen
der Bahnsteig	platform	Alltag	Nomen
